"sline_equal","Returns true if two sline objects are equal and false if not. sline_equal(SLine, SLine)"
"sline_equal_neg","Returns true if tow sline objects are not equal and true if they are. sline_equal_neg(SLine, SLine)"
"sline_turn","Turns the path of a sline object, preserving the bginning and end of the line. sline_turn(SLine)"
"sline_crosses","Returns true if two lines are crossing eachother and false if not. sline_crosses(SLine, SLine)"
"sline_crosses_neg","Returns true if two lines are not crossing eachother and false if they are. sline_crosses_neg(SLine, SLine)"
"sline_overlap","Returns true if two sline objects overlap and false if they don't. sline_overlap(SLine, SLine)"
"sline_contains_point","Returns true if a sline contains a spoint and false if not. sline_contains_point(SLine, SPoint), sline_contains_point(SPoint, SLine)"
"sline_contains_point_com","Returns true if the right sline contains the left spoint and false if not. sline_contains_point_com(SPoint, SLine)"
"sline_contains_point_neg","Returns true if a sline does not contain a spoint and false if it does. sline_contains_point_neg(SLine, SPoint), sline_contains_point_neg(SPoint, SLine)"
"sline_contains_point_com_neg","Returns true if the right sline does not contain the left spoint and false if it does. sline_contains_point_com_neg(SPoint, SLine)"
"strans_line","Transforms a given sline object according to an Euler transformation object. strans_line(SLine)"
"strans_line_inverse","Inverse transforms a given sline object according to an Euler transformation object. strans_line_inverse(SLine)"
"sline_overlap_circle","Returns true if a sline overlaps a scricle and false if not. sline_overlap_circle(SLine, SCircle), sline_overlap_circle(SCircle, SLine)"
"sline_overlap_circle_com","Returns true if the right sline overlaps the left scricle and false if not. sline_overlap_circle_com(SCircle, SLine)"
"sline_overlap_circle_neg","Returns true if a sline does not overlap a scricle and false if it does. sline_overlap_circle_neg(SLine, SCircle), sline_overlap_circle_neg(SCircle, SLine)"
"sline_overlap_circle_com_neg","Returns true if the right sline does not overlap the left scricle and false if it does. sline_overlap_circle_com_neg(SCircle, SLine)"
"scircle_contains_line","Returns true if a scircle contains a sline and false if not. scircle_contains_line(SCircle, SLine), scircle_contains_line(SLine, SCircle)"
"scircle_contains_line_com","Returns true if the right scircle contains the left sline and false if not. scircle_contains_line_com(SLine, SCircle)"
"scircle_contains_line_neg","Returns true if a scircle does not contain a sline and false if it does. scircle_contains_line_neg(SCircle, SLine), scircle_contains_line_neg(SLine, SCircle)"
"scircle_contains_line_com_neg","Returns true if the right scircle does not contain the left sline and false if it does. scircle_contains_line_com_neg(SLine, SCircle)"
"sellipse","Defines an ellipses on a sphere. Within mysql_sphere, ellipses are defined as: If the center of any spherical ellipse is the North Pole, the perpendicular projection into the x-y-plane gives an ellipse as in two-dimensional space. sellipse(SPoint, lrad, srad, inc), sellipse(SPoint), sellipse(SCircle), sellipse(ellipse_string)"
"sellipse_inc","Returns the major radius of a sellipse object. sellipse_inc(SEllipse)"
"sellipse_lrad","Returns the minor radius of a sellipse object. sellipse_lrad(SEllipse)"
"sellipse_srad","Returns the inclination of a sellipse object. sellipse_srad(SEllipse)"
"sellipse_equal","Returns true if two sellipse objects are equal and false if not. sellipse_equal(SEllipse, SEllipse)"
"sellipse_equal_neg","Returns true if tow sellipse objects are not equal and true if they are. sellipse_equal_neg(SEllipse, SEllipse)"
"sellipse_contains_ellipse","Returns true if a sellipse contains a sellipse and false if not. sellipse_contains_ellipse(SEllipse, SEllipse)"
"sellipse_contains_ellipse_neg","Returns true if a sellipse does not contain a sellipse and false if it does. sellipse_contains_ellipse_neg(SEllipse, SEllipse)"
"sellipse_contains_ellipse_com","Returns true if the right sellipse contains the left sellipse and false if not. sellipse_contains_ellipse_com(SEllipse, SEllipse)"
"sellipse_contains_ellipse_com_neg","Returns true if the right sellipse does not contain the left sellipse and false if it does. sellipse_contains_ellipse_com_neg(SEllipse, SEllipse)"
"sellipse_overlap_ellipse","Returns true if two sellipse objects overlap and false if they don't. sellipse_overlap_ellipse(SEllipse, SEllipse)"
"sellipse_overlap_ellipse_neg","Returns true if two sellipse objects donot overlap eachother and false if they do. sellipse_overlap_ellipse_neg(SEllipse, SEllipse)"
"sellipse_contains_point","Returns true if a sellipse contains a spoint and false if not. sellipse_contains_point(SEllipse, SPoint), sellipse_contains_point(SPoint, SEllipse)"
"sellipse_contains_point_neg","Returns true if a sellipse does not contain a spoint and false if it does. sellipse_contains_point_neg(SEllipse, SPoint), sellipse_contains_point_neg(SPoint, SEllipse)"
"sellipse_contains_point_com","Returns true if the right sellipse contains the left spoint and false if not. sellipse_contains_point_com(SPoint, SEllipse)"
"sellipse_contains_point_com_neg","Returns true if the right sellipse does not contain the left spoint and false if it does. sellipse_contains_point_com_neg(SPoint, SEllipse)"
"sellipse_contains_circle","Returns true if a sellipse contains a scircle and false if not. sellipse_contains_circle(SEllipse, SCircle), sellipse_contains_circle(SCircle, SEllipse)"
"sellipse_contains_circle_neg","Returns true if a sellipse does not contain a scircle and false if it does. sellipse_contains_circle_neg(SEllipse, SCircle), sellipse_contains_circle_neg(SCircle, SEllipse)"
"sellipse_contains_circle_com","Returns true if the right sellipse contains the left scircle and false if not. sellipse_contains_circle_com(SCircle, SEllipse)"
"sellipse_contains_circle_com_neg","Returns true if the right sellipse does not contain the left scircle and false if it does. sellipse_contains_circle_com_neg(SCircle, SEllipse)"
"scircle_contains_ellipse","Returns true if a scircle contains a sellipse and false if not. scircle_contains_ellipse(SCircle, SEllipse), scircle_contains_ellipse(SEllipse, SCircle)"
"scircle_contains_ellipse_neg","Returns true if a scircle does not contain a sellipse and false if it does. scircle_contains_ellipse_neg(SCircle, SEllipse), scircle_contains_ellipse_neg(SEllipse, SCircle)"
"scircle_contains_ellipse_com","Returns true if the right scircle contains the left sellipse and false if not. scircle_contains_ellipse_com(SEllipse, SCircle)"
"scircle_contains_ellipse_com_neg","Returns true if the right scircle does not contain the left sellipse and false if it does. scircle_contains_ellipse_com_neg(SEllipse, SCircle)"
"sellipse_overlap_circle","Returns true if a sellipse overlaps a scircle and false if not. sellipse_overlap_circle(SEllipse, SCircle), sellipse_overlap_circle(SCircle, SEllipse)"
"sellipse_overlap_circle_neg","Returns true if a sellipse does not overlaps a scircle and false if it does. sellipse_overlap_circle_neg(SEllipse, SCircle), sellipse_overlap_circle_neg(SCircle, SEllipse)"
"sellipse_overlap_circle_com","Returns true if the right sellipse overlaps the left scircle and false if not. sellipse_overlap_circle_com(SCircle, SEllipse)"
"sellipse_overlap_circle_com_neg","Returns true if the right sellipse does not overlaps the left scircle and false if it does. sellipse_overlap_circle_com_neg(SCircle, SEllipse)"
"sellipse_overlap_line","Returns true if a sellipse overlaps a scircle and false if not. sellipse_overlap_line(SEllipse, SLine), sellipse_overlap_line(SLine, SEllipse)"
"sellipse_overlap_line_neg","Returns true if a sellipse overlaps a scircle and false if not. sellipse_overlap_line_neg(SEllipse, SLine), sellipse_overlap_line_neg(SLine, SEllipse)"
"sellipse_overlap_line_com","Returns true if a sellipse overlaps a scircle and false if not. sellipse_overlap_line_com(SLine, SEllipse)"
"sellipse_overlap_line_com_neg","Returns true if a sellipse overlaps a scircle and false if not. sellipse_overlap_line_com_neg(SLine, SEllipse)"
"sellipse_contains_line","Returns true if a sellipse contains a sline and false if not. sellipse_contains_line(SEllipse, SLine), sellipse_contains_line(SLine, SEllipse)"
"sellipse_contains_line_neg","Returns true if a sellipse does not contain a sline and false if it does. sellipse_contains_line_neg(SEllipse, SLine), sellipse_contains_line_neg(SLine, SEllipse)"
"sellipse_contains_line_com","Returns true if the right sellipse contains the left sline and false if not. sellipse_contains_line_com(SLine, SEllipse)"
"sellipse_contains_line_com_neg","Returns true if the right sellipse does not contain the left sline and false if it does. sellipse_contains_line_com_neg(SLine, SEllipse)"
"strans_ellipse","Transforms a given sellipse object according to an Euler transformation object. strans_ellipse(SEllipse, SEuler)"
"strans_ellipse_inverse","Inverse transforms a given sellipse object according to an Euler transformation object. strans_ellipse_inverse(SEllipse, SEuler)"
"spoly","Defines a spherical path on a sphere. A spherical path is a concatination of spherical lines. spoly(polygon_string)"
"spoly_equal","Returns true if two spoly objects are equal and false if not. spoly_equal(SPoly, SPoly)"
"spoly_equal_neg","Returns true if two spoly objects are not equal and true if they are. spoly_equal_neg(SPoly, SPoly)"
"spoly_contains_polygon","Returns true if left spoly object contains right spoly and false if not. spoly_contains_polygon(SPoly, SPoly)"
"spoly_contains_polygon_neg","Returns true if left spoly object does not contains right spoly and false if it does. spoly_contains_polygon_neg(SPoly, SPoly)"
"spoly_contains_polygon_com","Returns true if right spoly object contains left spoly and false if not. contains_polygon_com(SPoly, SPoly)"
"spoly_contains_polygon_com_neg","Returns true if right spoly object does not contain left spoly and false if it does. spoly_contains_polygon_com_neg(SPoly, SPoly)"
"spoly_overlap_polygon","Returns true if two spoly objects overlap and false if they don't. spoly_overlap_polygon(SPoly, SPoly)"
"spoly_overlap_polygon_neg","Returns true if two spoly objects donot overlap eachother and false if they do. spoly_overlap_polygon_neg(SPoly, SPoly)"
"spoly_contains_point","Returns true if spoly contains spoint and false if not. spoly_contains_point(SPoly, SPoint), spoly_contains_point(SPoint, SPoly)"
"spoly_contains_point_neg","Returns true if spoly does not contain spoint and false if it does. spoly_contains_point_neg(SPoly, SPoint), spoly_contains_point_neg(SPoint, SPoly)"
"spoly_contains_point_com","Returns true if right spoly contains left spoint and false if not. spoly_contains_point_com(SPoint, SPoly)"
"spoly_contains_point_com_neg","Returns true if right spoly does not contain left spoint and false if it does. spoly_contains_point_com_neg(SPoint, SPoly)"
"spoly_contains_circle","Returns true if spoly contains scircle and false if not. spoly_contains_circle(SPoly, SCircle), spoly_contains_circle(SCircle, SPoly)"
"spoly_contains_circle_neg","Returns true if spoly does not contain scircle and false if it does. spoly_contains_circle_neg(SPoly, SCircle), spoly_contains_circle_neg(SCircle, SPoly)"
"spoly_contains_circle_com","Returns true if right spoly contains left scircle and false if not. spoly_contains_circle_com(SCircle, SPoly)"
"spoly_contains_circle_com_neg","Returns true if right spoly does not contain left scircle and false if it does. spoly_contains_circle_com_neg(SCircle, SPoly)"
"scircle_contains_polygon","Returns true if scircle contains spoly and false if not. scircle_contains_polygon(SCircle, SPoly), scircle_contains_polygon(SPoly, SCircle)"
"scircle_contains_polygon_neg","Returns true if scircle does not contain spoly and false if it does. scircle_contains_polygon_neg(SCircle, SPoly), scircle_contains_polygon_neg(SPoly, SCircle)"
"scircle_contains_polygon_com","Returns true if right scircle contains left spoly and false if not. scircle_contains_polygon_com(SPoly, SCircle)"
"scircle_contains_polygon_com_neg","Returns true if right scircle does not contain left spoly and false if it does. scircle_contains_polygon_com_neg(SPoly, SCircle)"
"spoly_overlap_circle","Returns true if spoly overlaps scircle and false if not. spoly_overlap_circle(SPoly, SCircle), spoly_overlap_circle(SCircle, SPoly)"
"spoly_overlap_circle_neg","Returns true if spoly does not overlap scircle and false if it does. spoly_overlap_circle_neg(SPoly, SCircle), spoly_overlap_circle_neg(SCircle, SPoly)"
"spoly_overlap_circle_com","Returns true if right spoly overlaps left scircle and false if not. spoly_overlap_circle_com(SCircle, SPoly)"
"spoly_overlap_circle_com_neg","Returns true if right spoly does not overlap left scircle and false if it does. spoly_overlap_circle_com_neg(SCircle, SPoly)"
"spoly_contains_line","Returns true if spoly contains sline and false if not. spoly_contains_line(SPoly, SLine), spoly_contains_line(SLine, SPoly)"
"spoly_contains_line_neg","Returns true if spoly does not contain sline and false if it does. spoly_contains_line_neg(SPoly, SLine), spoly_contains_line_neg(SLine, SPoly)"
"spoly_contains_line_com","Returns true if right spoly contains left sline and false if not. spoly_contains_line_com(SLine, SPoly)"
"spoly_contains_line_com_neg","Returns true if right spoly does not contain left sline and false if it does. spoly_contains_line_com_neg(SLine, SPoly)"
"spoly_overlap_line","Returns true if spoly overlaps sline and false if not. spoly_overlap_line(SPoly, SLine), spoly_overlap_line(SLine, SPoly)"
"spoly_overlap_line_neg","Returns true if spoly does not overlap sline and false if it does. spoly_overlap_line_neg(SPoly, SLine), spoly_overlap_line_neg(SLine, SPoly)"
"spoly_overlap_line_com","Returns true if right spoly overlaps left sline and false if not. spoly_overlap_line_com(SLine, SPoly)"
"spoly_overlap_line_com_neg","Returns true if right spoly does not overlap left sline and false if it does. spoly_overlap_line_com_neg(SLine, SPoly)"
"spoly_contains_ellipse","Returns true if spoly contains sellipse and false if not. spoly_contains_ellipse(SPoly, SEllipse), spoly_contains_ellipse(SEllipse, SPoly)"
"spoly_contains_ellipse_neg","Returns true if spoly does not contain sellipse and false if it does. spoly_contains_ellipse_neg(SPoly, SEllipse), spoly_contains_ellipse_neg(SEllipse, SPoly)"
"spoly_contains_ellipse_com","Returns true if right spoly contains left sellipse and false if not. spoly_contains_ellipse_com(SEllipse, SPoly)"
"spoly_contains_ellipse_com_neg","Returns true if right spoly does not contain left sellipse and false if it does. spoly_contains_ellipse_com_neg(SEllipse, SPoly)"
"sellipse_contains_polygon","Returns true if sellipse contains spoly and false if not. sellipse_contains_polygon(SEllipse, SPoly), sellipse_contains_polygon(SPoly, SEllipse)"
"sellipse_contains_polygon_neg","Returns true if sellipse does not contain spoly and false if it does. sellipse_contains_polygon_neg(SEllipse, SPoly), sellipse_contains_polygon_neg(SPoly, SEllipse)"
"sellipse_contains_polygon_com","Returns true if right sellipse contains left spoly and false if not. sellipse_contains_polygon_com(SPoly, SEllipse)"
"sellipse_contains_polygon_com_neg","Returns true if right sellipse does not contain left spoly and false if it does. sellipse_contains_polygon_com_neg(SPoly, SEllipse)"
"spoly_overlap_ellipse","Returns true if spoly overlaps sellispe and false if not. spoly_overlap_ellipse(SPoly, SEllipse), spoly_overlap_ellipse(SEllipse, SPoly)"
"spoly_overlap_ellipse_neg","Returns true if spoly does not overlap sellispe and false if it does. spoly_overlap_ellipse_neg(SPoly, SEllipse), spoly_overlap_ellipse_neg(SEllipse, SPoly)"
"spoly_overlap_ellipse_com","Returns true if right spoly overlaps left sellispe and false if not. spoly_overlap_ellipse_com(SEllipse, SPoly)"
"spoly_overlap_ellipse_com_neg","Returns true if right spoly does not overlap left sellispe and false if it does. spoly_overlap_ellipse_com_neg(SEllipse, SPoly)"
"strans_poly","Transforms a given spoly object according to an Euler transformation object. strans_poly(SPoly, SEuler)"
"strans_poly_inverse","Inverse transforms a given spoly object according to an Euler transformation object. strans_poly_inverse(SPoly, SEuler)"
"spoly_add_point_aggr","Aggregation function for adding spoints to an existing spoly. spoly_add_point_aggr(SPoly, SPoint)"
"spoly_aggr","Aggregation function for creating a new spoly from spoints. spoly_aggr(SPoint)"
"spath","Defines a polygon on a sphere. A spherical polygon is a closed spherical path where line segments cannot be crossed. spath(path_string)"
"spath_equal","Returns true if two sbox objects are equal and false if not. spath_equal(SPath, SPath)"
"spath_equal_neg","Returns true if tow sbox objects are not equal and true if they are. spath_equal_neg(SPath, SPath)"
"spath_overlap_path","Returns true if two spath objects overlap and false if they don't. spath_overlap_path(SPath, SPath)"
"spath_overlap_path_neg","Returns true if two spath objects donot overlap eachother and false if they do. spath_overlap_path_neg(SPath, SPath)"
"spath_contains_point","Returns true if spath contains spoint and false if not. spath_contains_point(SPath, SPoint), spath_contains_point(SPoint, SPath)"
"spath_contains_point_neg","Returns true if spath does not contains spoint and false if it does. spath_contains_point_neg(SPath, SPoint), spath_contains_point_neg(SPoint, SPath)"
"spath_contains_point_com","Returns true if right spath contains left spoint and false if not. spath_contains_point_com(SPoint, SPath)"
"spath_contains_point_com_neg","Returns true if right spath does not contains left spoint and false if it does. spath_contains_point_com_neg(SPoint, SPath)"
"scircle_contains_path","Returns true if scircle contains spath and false if not. scircle_contains_path(SCircle, SPath), scircle_contains_path(SPath, SCircle)"
"scircle_contains_path_neg","Returns true if scircle does not contains spath and false if it does. scircle_contains_path_neg(SCircle, SPath), scircle_contains_path_neg(SPath, SCircle)"
"scircle_contains_path_com","Returns true if right scircle contains left spath and false if not. scircle_contains_path_com(SPath, SCircle)"
"scircle_contains_path_com_neg","Returns true if right scircle does not contains left spath and false if it does. scircle_contains_path_com_neg(SPath, SCircle)"
"scircle_overlap_path","Returns true if scircle overlaps spath and false if not. scircle_overlap_path(SCircle, SPath), scircle_overlap_path(SPath, SCircle)"
"scircle_overlap_path_neg","Returns true if scircle does not overlap spath and false if it does. scircle_overlap_path_neg(SCircle, SPath), scircle_overlap_path_neg(SPath, SCircle)"
"scircle_overlap_path_com","Returns true if right scircle overlaps left spath and false if not. scircle_overlap_path_com(SPath, SCircle)"
"scircle_overlap_path_com_neg","Returns true if right scircle does not overlap left spath and false if it does. scircle_overlap_path_com_neg(SPath, SCircle)"
"spath_overlap_line","Returns true if spath overlaps sline and false if not. spath_overlap_line(SPath, SLine), spath_overlap_line(SLine, SPath)"
"spath_overlap_line_neg","Returns true if spath does not overlap sline and false if it does. spath_overlap_line_neg(SPath, SLine), spath_overlap_line_neg(SLine, SPath)"
"spath_overlap_line_com","Returns true if right spath overlaps left sline and false if not. spath_overlap_line_com(SLine, SPath)"
"spath_overlap_line_com_neg","Returns true if right spath does not overlap left sline and false if it does. spath_overlap_line_com_neg(SLine, SPath)"
"sellipse_contains_path","Returns true if sellipse contains spath and false if not. sellipse_contains_path(SEllipse, SPath), sellipse_contains_path(SPath, SEllipse)"
"sellipse_contains_path_neg","Returns true if sellipse does not contain spath and false if it does. sellipse_contains_path_neg(SEllipse, SPath), sellipse_contains_path_neg(SPath, SEllipse)"
